Year,Scenario,name,M,L,U
2028,TxPPM_PAN-TB,AvtMor,9.806468885918125e-4,6.116986993549178e-4,0.0013105766152514183
2028,Tx_LA-INJ,AvtInc,2.0958762463061256e-10,1.809125146199566e-10,2.462193963388388e-10
2028,Tx_LA-INJ,AvtMor,1.8341107191255816e-10,1.5858880379328022e-10,2.136830904513214e-10
2028,Tx_PAN-TB,AvtInc,4.0423606932847685e-5,3.8197123753978975e-5,4.1758132944975655e-5
2028,Tx_PAN-TB,AvtMor,1.7121970951511963e-4,1.4679580171255276e-4,2.119736482329901e-4
2028,Vac_BCG,AvtInc,8.958888618606343e-7,7.580428416467046e-7,1.087836882880686e-6
2028,Vac_BCG,AvtMor,4.406132581833059e-7,3.570338822160758e-7,5.575980090534453e-7
2028,Vac_BCG-M72,AvtInc,0.009083439835465574,0.008587843482334325,0.009590595218377396
2028,Vac_BCG-M72,AvtMor,0.0027630890551730725,0.0024924898776028624,0.0030099350880315352
2028,Vac_M72,AvtInc,0.009083409948944802,0.008587816741221168,0.009590569321616022
2028,Vac_M72,AvtMor,0.002763081256031686,0.0024924852500327636,0.00300992949538533
2028,Vac_Recurrence,AvtInc,0.0025415058889196214,0.0024141250847065634,0.002638865507667035
2028,Vac_Recurrence,AvtMor,7.65065814979315e-4,7.274415639544086e-4,8.050080737356675e-4
2029,Baseline,AvtInc,0,0,0
2029,Baseline,AvtMor,0,0,0
2029,CombinePPM_Hi,AvtInc,0.037753129717258235,0.03538232782060213,0.039865508676816167
2029,CombinePPM_Hi,AvtMor,0.019506473718064285,0.01830356960329794,0.02114938397573813
2029,Combine_Hi,AvtInc,0.03825181667237531,0.03601512921724922,0.040421740523955856
2029,Combine_Hi,AvtMor,0.01818291097694931,0.016762343663314375,0.02000972325079996
2029,DxPPM_POC,AvtInc,0.0048784852150056,0.0036001651754274254,0.006679253514356288
2029,DxPPM_POC,AvtMor,0.010288733112635024,0.00831596641596294,0.012169186727793865
2029,DxPPM_POC_Hi,AvtInc,1.4132475981389346e-4,-6.680397772447646e-5,3.5509494201794425e-4
2029,DxPPM_POC_Hi,AvtMor,0.002495458174403869,0.0021516184509056437,0.002847949782913714
2029,DxPPM_TSwab,AvtInc,3.7198963613612677e-4,1.431504878142505e-4,6.478031054737307e-4
2029,DxPPM_TSwab,AvtMor,0.002772875134902852,0.0024051115826910106,0.0031570523945254245
2029,Dx_POC,AvtInc,0.004705732577356993,0.0036368273718447,0.006316965113234746
2029,Dx_POC,AvtMor,0.008109062170467349,0.0062491864414535095,0.009917195012820797
2029,Dx_POC_Hi,AvtInc,7.412206729288854e-4,5.619694049177795e-4,0.001006695837978329
2029,Dx_POC_Hi,AvtMor,0.0014599731187442768,0.0011637444908216244,0.0017496841215747013
2029,Dx_POC_Hi_ITT,AvtInc,0.029751400023950793,0.02283464399285321,0.04009272207953092
2029,Dx_POC_Hi_ITT,AvtMor,0.05126920042569799,0.03943108741749444,0.0627721609922249
2029,Dx_POC_ITT,AvtInc,0.032775323089924195,0.02521644703219812,0.044200505449423694
2029,Dx_POC_ITT,AvtMor,0.05609518314944416,0.043156146519478286,0.06880963838203745
2029,Dx_TSwab,AvtInc,8.570293924150282e-4,6.537541711547508e-4,0.0011544043798552839
2029,Dx_TSwab,AvtMor,0.0015546102389441844,0.0012175575392953956,0.0018973686051547765
2029,Dx_TSwab_ITT,AvtInc,0.029838147376509153,0.022919101833381347,0.04021131219076676
2029,Dx_TSwab_ITT,AvtMor,0.051298667525460515,0.03945290020970728,0.0628491115832443
2029,Mass_NAAT_20_HRZE,AvtInc,0,0,0
2029,Mass_NAAT_20_HRZE,AvtMor,0,0,0
2029,Mass_NAAT_20_PAN,AvtInc,1.660103650546297e-4,1.5575632180006381e-4,1.7205944632880363e-4
2029,Mass_NAAT_20_PAN,AvtMor,9.294886163713013e-4,7.971464488482035e-4,0.0011483770323014574
2029,Mass_Xray_10_HRZE,AvtInc,0,0,0
2029,Mass_Xray_10_HRZE,AvtMor,0,0,0
2029,Mass_Xray_10_PAN,AvtInc,1.660103650546297e-4,1.5575632180006381e-4,1.7205944632880363e-4
2029,Mass_Xray_10_PAN,AvtMor,9.294886163713013e-4,7.971464488482035e-4,0.0011483770323014574
2029,TxPPM_LA-INJ,AvtInc,-5.73516855730755e-4,-6.913748126115944e-4,-4.838514151084902e-4
2029,TxPPM_LA-INJ,AvtMor,0.0010612468940572695,6.148399630766103e-4,0.0014914190744687943
2029,TxPPM_PAN-TB,AvtInc,-4.0825745365776893e-4,-5.24610553447497e-4,-3.2073910917922345e-4
2029,TxPPM_PAN-TB,AvtMor,0.0020275829032433685,0.0014203921093169768,0.002536884592561926
2029,Tx_LA-INJ,AvtInc,2.3169261004397602e-10,-2.012432833059821e-9,3.1609647002822916e-7
2029,Tx_LA-INJ,AvtMor,2.253558021631973e-10,-6.319115491383386e-10,3.151972486608309e-7
2029,Tx_PAN-TB,AvtInc,1.660103650546297e-4,1.5575632180006381e-4,1.7205944632880363e-4
2029,Tx_PAN-TB,AvtMor,9.294886163713013e-4,7.971464488482035e-4,0.0011483770323014574
2029,Vac_BCG,AvtInc,1.6738015683767248e-6,1.4171653292528333e-6,2.0296326332335496e-6
2029,Vac_BCG,AvtMor,9.78327858846311e-7,7.974082803393775e-7,1.2210646247524677e-6
2029,Vac_BCG-M72,AvtInc,0.03737787328997749,0.03530454681268069,0.03959430197595562
2029,Vac_BCG-M72,AvtMor,0.01681219043599122,0.01533962765531866,0.018374914293493062
2029,Vac_M72,AvtInc,0.037377715389942626,0.03530437129377659,0.039594099713513235
2029,Vac_M72,AvtMor,0.01681211770825119,0.015339582114389391,0.0183748611351605
2029,Vac_Recurrence,AvtInc,0.010639422545778507,0.010081918778343437,0.01097666553569094
2029,Vac_Recurrence,AvtMor,0.004689891629835675,0.004510944548838235,0.004873403540156225
2030,Baseline,AvtInc,0,0,0
2030,Baseline,AvtMor,0,0,0
2030,CombinePPM_Hi,AvtInc,0.07855032468779521,0.0737527838046258,0.08353754294611265
2030,CombinePPM_Hi,AvtMor,0.048470108616065904,0.04456020409296828,0.05218893946464433
2030,Combine_Hi,AvtInc,0.07905626994622189,0.07424622842424511,0.0841556975112802
2030,Combine_Hi,AvtMor,0.04690593417859326,0.042708877962169316,0.051207192079472434
2030,DxPPM_POC,AvtInc,0.006613804199100397,0.0048324860117152065,0.008993726263857325
2030,DxPPM_POC,AvtMor,0.012668236594290543,0.009953988850108064,0.014899890302483305
2030,DxPPM_POC_Hi,AvtInc,2.6609220237525956e-4,9.481369859945792e-6,5.476732168010166e-4
2030,DxPPM_POC_Hi,AvtMor,0.0030276744375035674,0.002570784075046233,0.003469905686406642
2030,DxPPM_TSwab,AvtInc,5.721007059354061e-4,2.8409010443060574e-4,9.664282836623565e-4
2030,DxPPM_TSwab,AvtMor,0.0033223560469119525,0.002884403067908489,0.0038542775900033996
2030,Dx_POC,AvtInc,0.006225196681212794,0.004793518217559177,0.008424526984923167
2030,Dx_POC,AvtMor,0.009923792339106398,0.007472427997167815,0.012276734709800754
2030,Dx_POC_Hi,AvtInc,9.979069725184666e-4,7.389667302624312e-4,0.0013524913632000676
2030,Dx_POC_Hi,AvtMor,0.0017797709320618274,0.0013983471325131024,0.0021474140466094275
2030,Dx_POC_Hi_ITT,AvtInc,0.038729153200505684,0.02952087437199893,0.05315412870795217
2030,Dx_POC_Hi_ITT,AvtMor,0.06143978902682193,0.04685499669193311,0.07637433251153691
2030,Dx_POC_ITT,AvtInc,0.04265043706990187,0.03250279984163822,0.05867383127839457
2030,Dx_POC_ITT,AvtMor,0.06735405597602351,0.05110806279566998,0.08378374998288628
2030,Dx_TSwab,AvtInc,0.0011411699619951546,8.62833167060917e-4,0.001545666659430889
2030,Dx_TSwab,AvtMor,0.0018981289357348908,0.0014566139005125068,0.0023459746921222664
2030,Dx_TSwab_ITT,AvtInc,0.03884020986939406,0.029618429741541205,0.05331688292901314
2030,Dx_TSwab_ITT,AvtMor,0.06152780074952585,0.04682768773249781,0.07648033109826702
2030,Mass_NAAT_20_HRZE,AvtInc,0,0,0
2030,Mass_NAAT_20_HRZE,AvtMor,0,0,0
